2016-03-26	16:45:39	1	가격이더착한미용	20000	-2	1
2016-03-26	14:37:00	1	전방메디칼약국	3200	-2	1
2016-03-26	14:30:55	1	다나의원	5300	-2	1
2016-03-24	23:15:06	1	GS25안암학사점	6800	-2	1
2016-03-23	22:39:47	1	GS25고개개운점	1800	-2	1
2016-03-23	22:31:50	1	도스마스고대점	4000	-2	1
2016-03-23	17:43:52	1	(주)코리아세븐S	1300	-2	1
2016-03-23	15:32:54	1	봉구스밥버거	2800	-2	1
2016-03-23	13:36:40	1	미니스톱고대사이	1350	-2	1
2016-03-23	13:33:27	1	롯데리아(고대하	4700	-2	1
2016-03-23	10:16:26	1	안암온누리약국	5600	-2	1
2016-03-23	10:13:26	1	서울의원	4300	-2	1
2016-03-22	08:54:45	1	지에스리테일(GS2	1300	-2	1
2016-03-21	21:38:56	1	버거킹까치산역점	5900	-2	1
2016-03-21	18:49:23	1	GS25신월으뜸점	1500	-2	1
2016-03-21	13:52:38	1	이공탄	14000	-2	1
2016-03-20	08:37:47	1	세외수입_KICC(창	2500	-2	1
2016-03-19	04:34:05	2	(예금이자           23 소득세         0 지방소득세         0)	23	-2	1
2016-03-18	18:52:42	1	부엉이돈가스두산	24500	-2	1
2016-03-18	14:27:48	1	비지에프리테일(	1000	-2	1
2016-03-18	14:18:57	1	매스플레이트	37800	-2	1
2016-03-18	12:50:45	1	WWW.STEAMPOWER	24692	-2	1
2016-03-18	02:24:05	1	용구비어고대점	10000	-2	1
2016-03-17	14:34:56	1	비지에프리테일(	5000	-2	1
2016-03-17	13:30:14	1	용초수	10000	-2	1
2016-03-17	08:42:06	1	GS25고개개운점	2600	-2	1
2016-03-16	22:55:32	1	GS25고개개운점	6300	-2	1
2016-03-16	12:57:30	1	미각	18000	-2	1
2016-03-15	23:40:59	1	(하나  39191107580907   이창수 )	41000	-2	1
2016-03-15	23:40:03	1	(하나  39191096962107   박종우 )	10000	-2	1
2016-03-15	22:34:39	1	노랑통닭고대점	6500	-2	1
2016-03-15	19:43:05	1	도네누	23000	-2	1
2016-03-15	14:33:31	1	소담식당	6000	-2	1
2016-03-14	22:23:32	1	GS25안암학사점	800	-2	1
2016-03-14	18:29:38	1	씨유목동역점	2000	-2	1
2016-03-14	13:43:23	1	마루고대점	16500	-2	1
2016-03-14	05:10:01	1	하나카드	12200	-2	1
2016-03-13	20:58:05	1	비야본점	13000	-2	1
2016-03-13	17:13:56	1	미니스톱고대사이	800	-2	1
2016-03-13	14:18:48	1	GS25안암학사점	800	-2	1
2016-03-13	14:17:06	3	ATM 현금 출금	30250	-2	1
2016-03-12	16:25:38	1	GS25안암학사점	1900	-2	1
2016-03-11	21:54:46	1	세븐일레븐고대제	3300	-2	1
2016-03-11	21:52:43	1	세븐일레븐고대제	3300	-2	1
2016-03-11	16:59:45	1	(주)다이소아성산	7020	-2	1
2016-03-11	14:05:18	1	니뽕내뽕	26300	-2	1
2016-03-10	15:06:25	2	김성수	350000	-2	1
2016-03-10	14:25:14	1	아비꼬	24500	-2	1
2016-03-10	13:04:25	1	세븐일레븐고대제	2200	-2	1
2016-03-09	21:32:47	1	버거킹목동역점	5900	-2	1
2016-03-09	17:23:54	1	(하나  60391042757007   방현웅 )	3000	-2	1
2016-03-09	13:09:20	1	오샬(OTSAL)	24000	-2	1
2016-03-08	18:41:15	1	(주)유니스토아고	3200	-2	1
2016-03-08	18:37:58	3	ATM 현금 출금	50250	-2	1
2016-03-08	18:02:47	1	미각	19000	-2	1
2016-03-07	18:19:43	1	중화명가	8000	-2	1
2016-03-07	13:05:01	1	GS25안암학사점	1850	-2	1
2016-03-06	16:49:18	1	파리바게뜨안암역	4000	-2	1
2016-03-05	16:43:08	1	윤현식	20600	-2	1
2016-03-05	16:36:01	3	김현섭	300000	-3	2
2016-03-04	13:49:13	1	MALLTAIL.COM	28147	-2	1
2016-03-04	13:48:50	1	도네누	9500	-2	1
2016-03-03	21:38:36	1	유재효	20600	-2	1
2016-03-02	17:35:36	1	빨봉분식	6000	-2	1
2016-03-02	12:29:23	1	부뚜막솥뚜껑	27300	-2	1
2016-03-02	01:19:39	1	비지에프리테일(	6000	-2	1
2016-03-01	23:34:07	1	춘자	15000	-2	1
2016-03-01	15:04:46	1	GS25안암학사점	1500	-2	1
2016-03-01	14:48:44	1	GS25안암학사점	3400	-2	1
2016-03-01	03:02:20	1	룩스	4000	-2	1
